prec_no,station_name,block_no,station_type
68,掛合,0698,a
68,斐川,0694,a
68,松江,47741,s
68,横田,0699,a
68,津和野,0707,a
68,浜田,47755,s
68,海士,1307,a
68,瑞穂,1094,a
68,益田,0704,a
68,西郷,47740,s
68,西郷岬,1473,a
68,赤名,1320,a
68,高津,1474,a
68,鹿島,0693,a
69,倉吉,0713,a
69,塩津,1231,a
69,境,47742,s
69,岩井,0711,a
69,智頭,0718,a
69,湖山,1519,a
69,米子,47744,s
69,茶屋,1304,a
69,青谷,0709,a
69,鳥取,47746,s
71,京上,1252,a
71,剣山,47894,s
71,宍喰,0725,a
71,徳島,47895,s
71,日和佐,0724,a
71,木頭,1352,a
71,東祖谷,1677,a
71,池田,0720,a
71,海陽,1604,a
71,穴吹,0972,a
71,蒲生田,1242,a
72,内海,0726,a
72,多度津,47890,s
72,引田,0730,a
72,滝宮,0729,a
72,財田,1239,a
72,香南,1475,a
72,高松,47891,s
73,三崎,0960,a
73,久万,0741,a
73,今治,1077,a
73,四国中央,0735,a
73,大三島,0732,a
73,大洲,0959,a
73,宇和,0961,a
73,宇和島,47892,s
73,御荘,0745,a
73,新居浜,0734,a
73,松山,47887,s
73,松山南吉田,1521,a
73,瀬戸,1456,a
73,西条,0958,a
73,近永,1350,a
73,長浜,0739,a
74,中村,0763,a
74,佐賀,1233,a
74,南国,0751,a
74,南国日章,1476,a
74,大栃,1229,a
74,安芸,0755,a
74,室戸岬,47899,s
74,宿毛,47897,s
74,後免,1249,a
74,本山,0746,a
74,本川,1351,a
74,梼原,0921,a
74,江川崎,1235,a
74,清水,47898,s
74,窪川,0758,a
74,須崎,0756,a
74,高知,47893,s
81,下松,0776,a
81,下関,47762,s
81,宇部,0778,a
81,安下庄,0779,a
81,山口,47784,s
81,岩国,0940,a
81,広瀬,0771,a
81,徳佐,0767,a
81,柳井,0942,a
81,油谷,0939,a
81,玖珂,0913,a
81,秋吉台,0769,a
81,萩,47754,s
81,豊田,0772,a
81,防府,0775,a
81,須佐,0765,a
82,久留米,0790,a
82,八幡,0780,a
82,前原,0785,a
82,博多,1477,a
82,大牟田,0793,a
82,太宰府,1141,a
82,宗像,0943,a
82,曽根,1527,a
82,朝倉,0788,a
82,添田,1046,a
82,福岡,47807,s
82,空港北町,1590,a
82,行橋,0782,a
82,飯塚,47809,s
82,黒木,0792,a
83,中津,0794,a
83,佐伯,0808,a
83,国見,1137,a
83,大分,47815,s
83,宇目,1142,a
83,日田,47814,s
83,杵築,1237,a
83,武蔵,0796,a
83,湯布院,0799,a
83,犬飼,0805,a
83,玖珠,0932,a
83,竹田,0806,a
83,蒲江,0810,a
83,豊後高田,0795,a
83,院内,0931,a
84,上大津,1479,a
84,佐世保,47812,s
84,佐須奈,0811,a
84,厳原,47800,s
84,口之津,0922,a
84,大村,1084,a
84,大瀬戸,0817,a
84,小値賀,1535,a
84,島原,0962,a
84,平戸,47805,s
84,有川,1138,a
84,松浦,0814,a
84,石田,1478,a
84,福江,47843,s
84,絹笠山,1676,a
84,美津島,1538,a
84,脇岬,1670,a
84,芦辺,1144,a
84,西海,1672,a
84,野母崎,1441,a
84,長崎,47817,s
84,雲仙岳,47818,s
84,頭ヶ島,1536,a
84,鰐浦,1453,a
85,伊万里,1075,a
85,佐賀,47813,s
85,唐津,1610,a
85,嬉野,0830,a
85,川副,1480,a
85,枝去木,0824,a
85,白石,0829,a
86,三角,1081,a
86,上,0926,a
86,人吉,47824,s
86,八代,0846,a
86,南小国,0833,a
86,南阿蘇,1660,a
86,岱明,0834,a
86,本渡,0845,a
86,松島,0843,a
86,水俣,0924,a
86,熊本,47819,s
86,牛深,47838,s
86,甲佐,0842,a
86,益城,0923,a
86,菊池,0835,a
86,阿蘇乙姫,1240,a
86,阿蘇山,47821,s
86,高森,0840,a
86,鹿北,0832,a
87,串間,0872,a
87,加久藤,0860,a
87,古江,1135,a
87,宮崎,47830,s
87,小林,0863,a
87,延岡,47822,s
87,日向,0857,a
87,油津,47835,s
87,田野,1663,a
87,神門,1353,a
87,西米良,1345,a
87,西都,0861,a
87,赤江,1481,a
87,都城,47829,s
87,青島,0868,a
87,鞍岡,1348,a
87,高千穂,0852,a
87,高鍋,0859,a
88,さつま柏原,0878,a
88,上中,0898,a
88,与論島,1277,a
88,中之島,1540,a
88,中甑,0879,a
88,中種子,0897,a
88,伊仙,1139,a
88,内之浦,0895,a
88,加世田,0887,a
88,古仁屋,0980,a
88,名瀬,47909,s
88,喜入,0890,a
88,喜界島,1296,a
88,大口,0875,a
88,天城,1542,a
88,尾之間,0899,a
88,屋久島,47836,s
88,川内,0880,a
88,志布志,0936,a
88,指宿,0893,a
88,東市来,0883,a
88,枕崎,47831,s
88,沖永良部,47942,s
88,溝辺,0881,a
88,牧之原,0935,a
88,田代,1136,a
88,種子島,47837,s
88,笠利,1520,a
88,肝付前田,1181,a
88,肝属川,0891,a
88,輝北,1146,a
88,阿久根,47823,s
88,鹿児島,47827,s
88,鹿屋,0937,a
91,下地島,1490,a
91,与那国島,47912,s
91,久米島,47929,s
91,仲筋,1491,a
91,伊原間,1145,a
91,伊是名,1147,a
91,伊良部,1246,a
91,北原,1534,a
91,北大東,1517,a
91,南大東（南大東島）,47945,s
91,名護,47940,s
91,多良間,1247,a
91,大原,1251,a
91,奥,0901,a
91,安次嶺,1482,a
91,宮古島,47927,s
91,宮城島,1596,a
91,志多阿原,1494,a
91,慶良間,1516,a
91,所野,1493,a
91,旧東,1518,a
91,波照間,1354,a
91,渡嘉敷,1152,a
91,盛山,1639,a
91,真栄里,1484,a
91,石垣島,47918,s
91,粟国,1515,a
91,糸数,0909,a
91,西表島,47917,s
91,那覇,47936,s
91,金武,1064,a
91,鏡原,1483,a
99,昭和,89532,s
